id,cve_ent,nom_ent,abrev,cve_mun,nom_mun,nom_loc,lat,lon,altitud,poblacion,pob_masc,pob_feme,viviendas
230010001,23,Quintana Roo,Q. Roo,1,Cozumel,Cozumel,20.503784,-86.957588,7,77236,39113,38123,21537
230020001,23,Quintana Roo,Q. Roo,2,Felipe Carrillo Puerto,Felipe Carrillo Puerto,19.57851,-88.046587,11,25744,12572,13172,6298
230030001,23,Quintana Roo,Q. Roo,3,Isla Mujeres,Isla Mujeres,21.256569,-86.746092,4,12642,6419,6223,3561
230040001,23,Quintana Roo,Q. Roo,4,Othón P. Blanco,Chetumal,18.493889,-88.297899,2,151243,74273,76970,41836
230050001,23,Quintana Roo,Q. Roo,5,Benito Juárez,Cancún,21.161416,-86.824811,5,628306,317990,310316,179501
230060001,23,Quintana Roo,Q. Roo,6,José María Morelos,Adolfo de la Huerta,19.418438,-88.829156,69,107,54,53,27
230070001,23,Quintana Roo,Q. Roo,7,Lázaro Cárdenas,Kantunilkín,21.101399,-87.487223,17,7150,3582,3568,1746
230080001,23,Quintana Roo,Q. Roo,8,Solidaridad,Playa del Carmen,20.628143,-87.0755,8,149923,78169,71754,46145
230090001,23,Quintana Roo,Q. Roo,9,Tulum,Tulum,20.210777,-87.463205,5,18233,9510,8723,5141
230100001,23,Quintana Roo,Q. Roo,10,Bacalar,Bacalar,18.676147,-88.389353,11,11048,5427,5621,2756
230110001,23,Quintana Roo,Q. Roo,11,Puerto Morelos,Puerto Morelos,20.848453,-86.876177,6,9188,4667,4521,2737
